nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.562913765234914720e+01,-2.483334382158994558e+01,-2.543575451397551745e+01,-2.643572822938686784e+01,-2.353330730444070440e+01,-2.629973324380014077e+01,-2.669302107060132201e+01,-2.457933562258174121e+01,-2.349000352387515633e+01,-2.755458378284741983e+01,-2.364120578645491477e+01,-2.514943489955143008e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.563366143889723503e+01,-2.245352569878615512e+01,-2.504075518072870565e+01,-2.381239956513460498e+01,-2.535558273283044883e+01,-2.570532068362285472e+01,-2.573138798562701623e+01,-2.458807481503982117e+01,-2.749854105713439978e+01,-2.676639016186498665e+01,-2.659682581608577934e+01,-2.588065655844094692e+01,-2.776298512977753319e+01,-2.632580007750281936e+01,-2.490697851073893077e+01,-2.464805549511256544e+01,-2.471384643535282422e+01,-2.458551310231500509e+01,-2.456432400529618221e+01,-2.384687369944444058e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.509356479126680384e+01,-2.477925810580650534e+01,-2.347326811128999324e+01,-2.476245557144914855e+01,-2.632304679724751750e+01,-2.579009206615355154e+01,-2.451093548607914130e+01,-2.391634684490788842e+01,-2.594267635413644513e+01,-2.459678983300059940e+01,-2.598695814610371357e+01,-2.570543507617668055e+01,-2.757863691615260748e+01,-2.611016136167279100e+01,-2.641204296716995259e+01,-2.727964297022382212e+01,-2.850505053826466906e+01,-2.480224845305173176e+01,-2.603434574795385359e+01,-2.634575396664568814e+01,-2.617407118931085819e+01,-2.552648195342095505e+01,-2.639266282946804765e+01,-2.663436978398944532e+01,-2.328996237410947145e+01,-2.392989067853758911e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.518422250262452167e+01,-2.519489332792677416e+01,-2.510782419585828151e+01,-2.421334889319701844e+01,-2.546675424849940228e+01,-2.382475379965731932e+01,-2.473970313824420941e+01,-2.396415117493093305e+01,-2.613639664066636215e+01,-2.798480566442628970e+01,-2.601436563721736306e+01,-2.633933087402250095e+01,-2.680053545085614175e+01,-2.508644244726762196e+01,-2.364870169748019535e+01,-2.607827513803349362e+01,-2.761693079924057415e+01,-2.687425226532078071e+01,-2.527065149760262841e+01,-2.603873466827071681e+01,-2.488276092713722676e+01,-2.517657815018217704e+01,-2.501252545005818817e+01,-2.706959673176696413e+01,-2.711018372506421770e+01,-2.590026509999740867e+01,-2.563320516331071275e+01,-2.290328222765203492e+01,-2.611814836831214137e+01,-2.287814959671392145e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.488785366151554612e+01,-2.481925954580276183e+01,-2.291806247598034574e+01,-2.470825924632975656e+01,-2.435464299029627355e+01,-2.585037075411253582e+01,-2.590525204350855049e+01,-2.459320827879165350e+01,-2.589226310835602973e+01,-2.546949182645453291e+01,-2.405049718948161797e+01,-2.576051928871646624e+01,-2.472583154803679761e+01,-2.517509701311394110e+01,-2.640312987834906977e+01,-2.678262915068323480e+01,-2.537041289816950496e+01,-2.641125558823137354e+01,-2.647237879756273671e+01,-2.706399493851051830e+01,-2.541464087892465429e+01,-2.603330732886620780e+01,-2.585543183175592574e+01,-2.348938959430386220e+01,-2.667450196960643538e+01,-2.566058854301036263e+01,-2.473591811463183987e+01,-2.613539833435292792e+01,-2.431558542859443151e+01,-2.480626182592041218e+01,-2.652664192056276349e+01,-2.343543330164055050e+01,-2.379208867878393363e+01,-2.196235716352110501e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.177007640997636884e+01,-2.437636623130979530e+01,-2.335646071375029820e+01,-2.381683035567969853e+01,-2.438976836790160263e+01,-2.666893805921185745e+01,-2.455790005161900424e+01,-2.582578577692068222e+01,-2.439848608755657366e+01,-2.442857687232507757e+01,-2.556397131929954369e+01,-2.581812785294011192e+01,-2.570011662469121916e+01,-2.652788697960422226e+01,-2.719586502520721183e+01,-2.543837302054936345e+01,-2.624505732764681554e+01,-2.722184591366635331e+01,-2.508460591291000341e+01,-2.704266229640674268e+01,-2.507736359212801602e+01,-2.664011977553258959e+01,-2.580753264711065498e+01,-2.595587329479505456e+01,-2.465878910042334482e+01,-2.445753057811499076e+01,-2.797688128781464201e+01,-2.698625029537826947e+01,-2.430990193297940394e+01,-2.514522868732541383e+01,-2.474813280914754188e+01,-2.645188480443302481e+01,-2.419987814956925831e+01,-2.485486536184597739e+01,-2.256347187754094108e+01,-2.258093472233441545e+01,-2.366830349587090510e+01,-2.007276326050001813e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.362870414971947497e+01,-2.380363859727006570e+01,-2.293578581121468574e+01,-2.430442143575092118e+01,-2.331546243310603117e+01,-2.499686608197000481e+01,-2.371719877102502494e+01,-2.538297728202744352e+01,-2.349431373672827661e+01,-2.504621624080013476e+01,-2.487564225673106932e+01,-2.333086113274615059e+01,-2.430988465092495687e+01,-2.712306897029499808e+01,-2.448580577755509324e+01,-2.846853815229873774e+01,-2.353072542619137408e+01,-2.374882545387876576e+01,-2.539602248834401976e+01,-2.501046184554529717e+01,-2.474736325805628923e+01,-2.527042690110939915e+01,-2.448069450544092263e+01,-2.648343826297679016e+01,-2.520348169435863639e+01,-2.659382616057405357e+01,-2.418955927823475704e+01,-2.812262265759055069e+01,-2.471497908577984859e+01,-2.880124566304510125e+01,-2.465525346350154123e+01,-2.564787395276984938e+01,-2.382359344585515615e+01,-2.443366000889985656e+01,-2.362278591244432491e+01,-2.475052183190578248e+01,-2.447185835972159040e+01,-2.249765913496460712e+01,-2.207143862186115513e+01,-2.165831554351172628e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.073359631698034988e+01,-2.203501116997260212e+01,-2.181182516580350850e+01,-2.186423489979851098e+01,-2.212633942493613404e+01,-2.327775474024869240e+01,-2.402598781631905211e+01,-2.375545763446685044e+01,-2.371231890412377652e+01,-2.504368306994797067e+01,-2.429458756292655153e+01,-2.519926529520950353e+01,-2.365155989473561249e+01,-2.455070530917610228e+01,-2.595504800636635423e+01,-2.584165021839546839e+01,-2.454592978567374217e+01,-2.440350142116489707e+01,-2.510231104269978530e+01,-2.432391009884718613e+01,-2.431502728131249214e+01,-2.504238215616567587e+01,-2.498808267488803736e+01,-2.375624801313096413e+01,-2.404481777954200439e+01,-2.638239720309633185e+01,-2.377197638630457632e+01,-2.489203632018168832e+01,-2.305316866490299432e+01,-2.445573760307795652e+01,-2.497288433919757367e+01,-2.393879203940398526e+01,-2.408481201709673414e+01,-2.526344022260260402e+01,-2.377113977718009252e+01,-2.360980527492153058e+01,-2.336577378545660011e+01,-2.235836875576322669e+01,-2.288225439157338670e+01,-2.320484329117573097e+01,-2.392297260919218260e+01,-2.153090890375098354e+01,-2.132909377687591856e+01,-2.082384803644497850e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.817097349826485342e+01,-2.110508253948317403e+01,-2.242803443929924256e+01,-2.106126675846102714e+01,-2.242643255759487886e+01,-2.273490801349182533e+01,-2.374169913124257647e+01,-2.423717658146058440e+01,-2.354440670924365264e+01,-2.420565747535730594e+01,-2.442598409422959094e+01,-2.525383416833481931e+01,-2.503338614696657416e+01,-2.789772514277224502e+01,-2.478192803205324779e+01,-2.253564201790435462e+01,-2.392366917904909585e+01,-2.441022110831080028e+01,-2.364478394434522102e+01,-2.525208529349150410e+01,-2.361905540797787140e+01,-2.506546794321029381e+01,-2.252803532110694817e+01,-2.501183639383019397e+01,-2.365307859477684715e+01,-2.508922007673394816e+01,-2.590025389005121781e+01,-2.346988905170475803e+01,-2.291400060094869318e+01,-2.472000104919778352e+01,-2.452160389675767149e+01,-2.476414974528380242e+01,-2.491919384284787498e+01,-2.496818053623455569e+01,-2.535310477841870380e+01,-2.514626666357148110e+01,-2.376547130071872260e+01,-2.341588385161829322e+01,-2.356075118006727820e+01,-2.095113339732078472e+01,-2.213346426168278924e+01,-2.110103009159672638e+01,-2.190311856121709155e+01,-2.145769222960791112e+01,-2.149155782732363917e+01,-1.996605798171771085e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.025156007734556596e+01,-1.918209643190088087e+01,-2.069824585647595683e+01,-2.091392081987444840e+01,-2.133631389649965016e+01,-2.262009189343178406e+01,-2.237450328028245039e+01,-2.247430778453963285e+01,-2.420482296909551678e+01,-2.396520030747419128e+01,-2.327078245894316666e+01,-2.475028340974296270e+01,-2.255612841486020770e+01,-2.189345115622848681e+01,-2.395623369319067919e+01,-2.455803614582033489e+01,-2.495686146976509789e+01,-2.329727724406929568e+01,-2.323597955723141695e+01,-2.285115270872577042e+01,-2.430475154175693220e+01,-2.291993406667955924e+01,-2.449673560700303909e+01,-2.280104043983405759e+01,-2.420528446535615430e+01,-2.336820210188209046e+01,-2.393929269850207575e+01,-2.331995664076753627e+01,-2.457234662184634999e+01,-2.239423410409259318e+01,-2.370155717276850282e+01,-2.324796091223969086e+01,-2.322235530573313511e+01,-2.230736268788664489e+01,-2.407333757246630412e+01,-2.252186335492925195e+01,-2.200377709089602618e+01,-2.305575999834759315e+01,-2.259069764424328142e+01,-2.323467731988004203e+01,-2.342846885083931241e+01,-2.325400873561572013e+01,-2.232511123956718890e+01,-2.048713959426940789e+01,-2.104190373780742362e+01,-1.979155360169806954e+01,-2.060066052551558258e+01,-2.041545825848366036e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.900354946198275741e+01,-1.923636475196653706e+01,-2.047783230984614988e+01,-2.125283845439597386e+01,-2.173380821484999714e+01,-2.185450314394394056e+01,-2.289857723423506286e+01,-2.228390989326892679e+01,-2.138118046843069209e+01,-2.322017649365858460e+01,-2.275232236411499542e+01,-2.317148756187422975e+01,-2.274886345014748201e+01,-2.206713073135921022e+01,-2.286556832815668727e+01,-2.519478152752740385e+01,-2.245235455961145377e+01,-2.384124991492941703e+01,-2.337502290114480985e+01,-2.455030031063743223e+01,-2.277098228805660085e+01,-2.404059738375434918e+01,-2.425503938808409643e+01,-2.396785135084669349e+01,-2.455106956467353996e+01,-2.378314301339439041e+01,-2.295853130931162056e+01,-2.260066494029397788e+01,-2.289244709228291086e+01,-2.352199371398311811e+01,-2.338922636964286284e+01,-2.441076932160595803e+01,-2.468342575375273640e+01,-2.284145478553745079e+01,-2.443747894565988332e+01,-2.293412387875951808e+01,-2.395384811551051030e+01,-2.400790300049567350e+01,-2.187210907040792662e+01,-2.332991791239757973e+01,-2.144215138785316555e+01,-2.232934294962339550e+01,-2.179720914006779253e+01,-2.138333583831628815e+01,-2.163479280160797913e+01,-2.170294350572314457e+01,-2.018975170789497753e+01,-1.953728963850070954e+01,-1.840311411517323847e+01,-1.763159662857220411e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
