nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-4.269364932673521018e+00,-3.275981443514118130e+00,-1.685973999798312750e+00,-2.970896792128157493e+00,-1.066635474668636396e+00,-8.164112373849695681e-01,1.325607420444188667e-01,1.505638180796533332e+00,1.601794291507772083e+00,2.919377138809681416e+00,3.492580647726186260e+00,4.336208278215537781e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.638868403319559519e+00,-7.911258509844505404e+00,-6.475741207446445991e+00,-5.438841366909363373e+00,-5.773259517624896198e+00,-5.154615412863797985e+00,-2.636761034270366011e+00,-1.903056931824447240e+00,-2.078831366802879721e+00,1.626088002999064031e-01,3.830246102651039264e-01,1.566092002469050559e+00,2.115191534371831938e+00,3.022058271398893048e+00,3.841778793692439908e+00,5.765976413410712986e+00,5.602338544927402353e+00,5.663816373235553314e+00,7.876261905482085268e+00,8.684873719175552509e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9.779889938311470132e+00,-9.942939278695885008e+00,-7.809508588387426009e+00,-1.003959578811816122e+01,-6.770576684950514235e+00,-8.349839318644178832e+00,-6.164255172214609502e+00,-5.134090292022581714e+00,-3.650695194208251948e+00,-4.334110982661774969e+00,-2.476227056612931410e+00,-1.283167049330832921e+00,-1.299205685358055529e-01,4.880177032131411408e-01,9.493595628278145293e-01,2.357740206029561136e+00,3.659031711376248719e+00,4.664683275058786549e+00,4.160310102102965146e+00,4.956047473465388542e+00,5.994877075952941503e+00,7.269525883666765331e+00,7.406430234596812490e+00,9.597030707300971741e+00,9.741164095592139915e+00,1.020802188555474999e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.199054207171119479e+01,-1.141796858921623326e+01,-1.161605222956182715e+01,-1.152841859554226112e+01,-1.046672564690243590e+01,-9.760251081128958006e+00,-9.712108460635830554e+00,-5.875685833386380175e+00,-6.306534890160636841e+00,-4.922955071763642998e+00,-4.818799562313578200e+00,-3.150398099396482188e+00,-2.563375245042177841e+00,-1.397811987345974893e+00,-8.009555060562062456e-01,1.257997789303681779e+00,1.907222045024717039e+00,3.234537780348829994e+00,2.819143965548479791e+00,4.662751519722989180e+00,6.275445968444229194e+00,6.490211803966666970e+00,6.211168937198915607e+00,8.285727218060673138e+00,7.948099675652851026e+00,9.669861381315554283e+00,9.889381949878666589e+00,9.882433573561314688e+00,1.136031408602483594e+01,1.221522343973047064e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.367454654657770874e+01,-1.222072228918329273e+01,-1.224731548844316542e+01,-1.493044082985021426e+01,-1.010197296714300386e+01,-1.119085916997582508e+01,-1.055775868280752761e+01,-9.576446949141910636e+00,-8.198428591645596342e+00,-7.306654255202333026e+00,-6.108597912729529789e+00,-6.175899639384187623e+00,-4.149989334924907070e+00,-3.681314898168429384e+00,-3.946543690163853757e+00,-2.109786874686277347e+00,-1.890657648721695727e+00,4.583447293277234103e-01,9.140367543146599161e-01,2.135415065033214876e+00,3.892466681567614106e+00,5.760561560130507353e+00,5.007650105435584642e+00,5.619326063440590602e+00,6.265272128565465337e+00,9.051873077478697738e+00,9.473555095835058282e+00,9.818550460715604444e+00,1.142424930771445979e+01,1.096035298317425877e+01,1.157086287188926832e+01,1.354418806271974773e+01,1.273383732411026159e+01,1.391187836344228224e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.603113096718600161e+01,-1.581540289132045984e+01,-1.346297402976142799e+01,-1.422794015518812571e+01,-1.387420013062531865e+01,-1.370731891457890406e+01,-1.210407292584670280e+01,-1.026421243843565279e+01,-1.244789432172359334e+01,-9.149568302461863922e+00,-8.144022702901915878e+00,-6.984457226191990387e+00,-7.179931668592826277e+00,-5.406874774347912194e+00,-4.614098313726819889e+00,-3.153789679897130771e+00,-3.014206702928257542e+00,-1.371868889886494580e+00,-7.798602689083714568e-01,8.553555935227772355e-01,1.790795183539163338e+00,3.044879039744343263e+00,3.522869135593815315e+00,4.623319913010248250e+00,5.549666694775222453e+00,6.238009842282725259e+00,6.595264039828307112e+00,8.216608944798471370e+00,8.664998716618875108e+00,1.124914411685141147e+01,1.140741416071979053e+01,1.173402464049798333e+01,1.268265623426382049e+01,1.263542660307106047e+01,1.408908508010532756e+01,1.317453752005552658e+01,1.724591250273941512e+01,1.453074703570457160e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.467865328981813278e+01,-1.590898234210645157e+01,-1.478222623921653067e+01,-1.566623279937485869e+01,-1.522379040741381040e+01,-1.286721039690234214e+01,-1.338206107598533912e+01,-1.320371790357409836e+01,-9.911021734122469340e+00,-1.107524423480926323e+01,-1.135093345438024315e+01,-7.483228386354347172e+00,-6.073593477679244401e+00,-7.474286916969878014e+00,-6.079246524789900796e+00,-3.803298925846117839e+00,-2.235904622072910186e+00,-2.704961456280514209e+00,-1.635629230270927437e+00,4.117991466709691184e-01,5.075852899149460029e-01,1.949655618593635342e+00,2.146665090129628251e+00,3.632248819580069732e+00,4.653321120587772697e+00,5.198593144602793537e+00,6.265057922741351426e+00,8.240501500999295459e+00,7.460670601848013561e+00,1.067133451655331733e+01,1.007547193839830513e+01,1.094784898869459155e+01,1.138958945394741029e+01,1.331895757414232406e+01,1.340192257141801058e+01,1.619727085675981471e+01,1.442370860796951071e+01,1.565093849920781288e+01,1.446896732895427640e+01,1.603951809416319918e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.591574547392648675e+01,-1.695783491645626029e+01,-1.634909236554523915e+01,-1.718361237072116410e+01,-1.728081450879501446e+01,-1.679002807858113400e+01,-1.477385165581963555e+01,-1.433303537227765290e+01,-1.278667945701703168e+01,-1.306814204645269228e+01,-1.325487991975366064e+01,-9.268314571685493775e+00,-9.022379933979895128e+00,-9.881762252343067487e+00,-6.638207096075841029e+00,-6.521553664842734577e+00,-4.383011727435129679e+00,-6.348317336345741246e+00,-3.834246346678909845e+00,-2.445319166797220500e+00,-1.146279484816414840e+00,-2.930949290936452067e-01,5.167099019466199206e-01,1.898037972762992354e+00,2.606453975515657717e+00,3.848110424947943642e+00,4.852808383110440715e+00,5.472247339853401726e+00,6.861055569941100885e+00,8.029573836463024250e+00,9.707895391326523793e+00,1.158181695768616315e+01,1.142270701376570052e+01,1.262397600056944391e+01,1.062995434882987134e+01,1.344129288587933324e+01,1.278915995050302001e+01,1.665528424147004927e+01,1.443650425549673599e+01,1.671762923869268391e+01,1.640799482682984944e+01,1.623317726071470801e+01,1.505528442289304358e+01,1.615143344877324338e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.579347052547180574e+01,-1.680476821402575993e+01,-1.813402479044016857e+01,-1.849414837641717568e+01,-1.520246600189553554e+01,-1.675940752031640812e+01,-1.594784095593180062e+01,-1.538141892473770334e+01,-1.472000658994558542e+01,-1.222284491904776438e+01,-1.223477229665205890e+01,-1.150966825104504920e+01,-9.294955729269915423e+00,-1.099756035769037688e+01,-9.088741095549066173e+00,-7.900994722990493990e+00,-6.537092958067504789e+00,-5.495214379740224864e+00,-5.322216277166313070e+00,-3.853960393222465086e+00,-2.244094823562372554e+00,-2.279986189215583270e+00,-1.004079804754578031e+00,5.053119258309380496e-02,1.351195232191458873e+00,1.910646792113104731e+00,4.287581115066305237e+00,4.607899546391230672e+00,4.943643447331066199e+00,8.050413079779934478e+00,8.145251803769548715e+00,7.531919499773816362e+00,9.901437591645604996e+00,1.067375718398364803e+01,1.252859994391400278e+01,1.327724629742773921e+01,1.463505689219936556e+01,1.423256887939708371e+01,1.467711865787661729e+01,1.635123492254872701e+01,1.577798314854370432e+01,1.503853244985262982e+01,1.612797513573982755e+01,1.690937756881129417e+01,1.619952236614744479e+01,1.724759793331800140e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.959016215716017939e+01,-1.749960197924090011e+01,-1.670455290833657713e+01,-1.759174272286359653e+01,-1.681930821187341252e+01,-1.622339022426504940e+01,-1.472393137373728500e+01,-1.575524191394856111e+01,-1.421426845681903828e+01,-1.445787471723921591e+01,-1.394109541118971407e+01,-1.395741007980678106e+01,-1.174234766121763762e+01,-1.227139804582535199e+01,-1.007131086378079488e+01,-9.386689739956597833e+00,-8.291934006120365908e+00,-6.837324819107172047e+00,-6.180829762809906036e+00,-5.520962769349219812e+00,-4.357710430357225384e+00,-2.900724100483775825e+00,-1.226218177158774125e+00,-1.054591989369982441e+00,9.946808743825210630e-01,2.223406144342736646e+00,2.687697223519458500e+00,4.060760407365739511e+00,4.100160194335497721e+00,6.136284688072194626e+00,6.215886675596926203e+00,7.505019720761457513e+00,9.039409667967001738e+00,1.007431270357386488e+01,1.120960238853082380e+01,1.172651001746285360e+01,1.409252857365823175e+01,1.456377341084815669e+01,1.446219568630275809e+01,1.484041419787911309e+01,1.607855713346171811e+01,1.714613813730593961e+01,1.761986407675503230e+01,1.817763871748203641e+01,1.664655866388408967e+01,1.753229948288321793e+01,1.697038375211358030e+01,1.683445309614737084e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
