nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-4.271681437277302429e+00,-3.287452047535113664e+00,-1.675133008346468833e+00,-2.988677463667818834e+00,-1.074157648924618513e+00,-8.167312351631029754e-01,1.290873948618575795e-01,1.505615808486024498e+00,1.608653691275234277e+00,2.920738014614601141e+00,3.500822215937509085e+00,4.339586734595411777e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.574235380163605313e+00,-7.879905495903532398e+00,-6.464606498975323134e+00,-5.438867707788354267e+00,-5.780164623177701522e+00,-5.138372437576222751e+00,-2.651863901059089645e+00,-1.904738622975439943e+00,-2.086873853474203511e+00,1.590453238897995836e-01,3.767201072210402124e-01,1.568774420287951665e+00,2.120074064171623807e+00,3.021881005926205788e+00,3.844533457070268057e+00,5.861968723941706649e+00,5.594898385101986449e+00,5.657405140806034183e+00,7.894374413062209328e+00,8.649650453518384907e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9.718462190080092711e+00,-9.875914954829925207e+00,-7.780173409620240399e+00,-1.001343488284144456e+01,-6.751374351001175000e+00,-8.346394367837326911e+00,-6.148617520400573078e+00,-5.123528692664344852e+00,-3.658093525077264374e+00,-4.334801015794393919e+00,-2.475294355362055221e+00,-1.284942071328157631e+00,-1.274363956761216665e-01,4.940806576285335927e-01,9.481891039479266592e-01,2.362779260609737086e+00,3.660853845167787224e+00,4.664833180694296644e+00,4.156400086956410611e+00,5.021005403672391232e+00,5.990037000663718914e+00,7.231332809670033335e+00,7.373311288733298774e+00,9.548177193919254790e+00,9.667688537741012667e+00,1.013872013511289616e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.192403682116151487e+01,-1.133061016273226329e+01,-1.160733394572963917e+01,-1.144861842869891788e+01,-1.054145579991159032e+01,-9.691215107218006608e+00,-9.687121046634688426e+00,-5.874771616533368324e+00,-6.283533023924598560e+00,-4.920165791782057596e+00,-4.812595219916585343e+00,-3.153439282001570199e+00,-2.573584532604092256e+00,-1.405367077052936509e+00,-8.046309317123683247e-01,1.263777981368122694e+00,1.902367208971453394e+00,3.238182469102168781e+00,2.822418037286678061e+00,4.691658366729376972e+00,6.260598794552860724e+00,6.473877075536953463e+00,6.195196401698011002e+00,8.246643140065883060e+00,7.931782858820220383e+00,9.710092064028325254e+00,9.800278023606335154e+00,9.804726175077922434e+00,1.128881085038243626e+01,1.213952449565639036e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.369229066939926298e+01,-1.213899982113201226e+01,-1.252721492218777399e+01,-1.514914566113189132e+01,-1.007135855396040647e+01,-1.134234019274966165e+01,-1.061011091170787068e+01,-9.570214358321818438e+00,-8.181115521002061186e+00,-7.273375327091996745e+00,-6.094688676753057699e+00,-6.173416308308254941e+00,-4.231697831935259835e+00,-3.674102107008157425e+00,-3.951316402535062888e+00,-2.119291364948115763e+00,-1.884993204666016720e+00,4.571158688147514138e-01,9.113991240098354707e-01,2.139873784525269773e+00,3.889170717998117421e+00,5.752757735038263931e+00,4.999165346474493177e+00,5.616213691131303420e+00,6.254946560367652175e+00,9.063895467203311185e+00,9.404727072799566656e+00,9.780781234994218920e+00,1.141439902533563178e+01,1.099842990678194532e+01,1.146828809292212448e+01,1.368353967890996259e+01,1.277735458426352189e+01,1.384963637908350087e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.628761856450100609e+01,-1.604277893681510037e+01,-1.344287057001852936e+01,-1.436101299125277109e+01,-1.388770209743756823e+01,-1.402276993882059131e+01,-1.201968788850562930e+01,-1.028284312017183488e+01,-1.292287262200763465e+01,-9.127071556327186030e+00,-8.109098788806738511e+00,-6.975102217304970154e+00,-7.181242583613528296e+00,-5.398906701651942086e+00,-4.613865495639589476e+00,-3.148929002323600290e+00,-3.018610423599178194e+00,-1.379498926418289750e+00,-7.804434283358954172e-01,8.550207478929470195e-01,1.847736594592933823e+00,3.046367053385910850e+00,3.526649485559966823e+00,4.623424887684806528e+00,5.546006404994676231e+00,6.225415550937191789e+00,6.591458669185056962e+00,8.186623247539644765e+00,8.603610807183118325e+00,1.128160373072029721e+01,1.150727679377308021e+01,1.173698920872361029e+01,1.264860253848288529e+01,1.256777681906708288e+01,1.419103661799066707e+01,1.312074937532208807e+01,1.809064660212034781e+01,1.447945040936895644e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.460962070577196492e+01,-1.619918117828506254e+01,-1.473634604081451194e+01,-1.593637771522561764e+01,-1.547675616094737627e+01,-1.280013973063125476e+01,-1.346406765506791814e+01,-1.322097760463966942e+01,-9.866741459918907609e+00,-1.112917956858597357e+01,-1.144939221790967387e+01,-7.445028160313834853e+00,-6.077123545680363392e+00,-7.457509575861454465e+00,-6.066466272361554779e+00,-3.808643719026218566e+00,-2.245923509747193680e+00,-2.715339231692382338e+00,-1.640150319457212236e+00,4.202772777124531567e-01,5.127933420174044521e-01,1.949609345715789921e+00,2.145606257514506066e+00,3.630691652127253199e+00,4.656015989407793043e+00,5.190277139078610880e+00,6.288911573422265811e+00,8.201734127984630973e+00,7.423198277063882244e+00,1.070727548240467009e+01,1.004370945522703806e+01,1.091590583156114036e+01,1.134363436549747561e+01,1.349649255046463381e+01,1.353269837591054703e+01,1.655412310918664076e+01,1.448356657663805791e+01,1.591239187686166545e+01,1.446676345058306090e+01,1.624588542814537817e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.593529685098677184e+01,-1.715968862733359401e+01,-1.667714885620576126e+01,-1.774870232465648101e+01,-1.824244533235545873e+01,-1.720401832131772935e+01,-1.510772104889947443e+01,-1.455869452598917491e+01,-1.273405037611972901e+01,-1.313460060292065101e+01,-1.316854559361428478e+01,-9.212654710908731559e+00,-8.998483821559133844e+00,-9.802265781915664888e+00,-6.638790409413271476e+00,-6.514408575381674282e+00,-4.384424204311084594e+00,-6.332218287964699321e+00,-3.835816444401238812e+00,-2.452199665924638339e+00,-1.151993255012805584e+00,-2.936347795920262738e-01,5.252637842449936478e-01,1.897348825147606055e+00,2.617384021128511762e+00,3.846841273281879303e+00,4.854665823756104892e+00,5.471408586636735016e+00,6.854966555155032282e+00,8.000358052828728361e+00,9.643386104724847030e+00,1.169006005036200158e+01,1.152468660928727573e+01,1.263407523561241774e+01,1.054082269934552940e+01,1.345377998796998398e+01,1.275316805564514944e+01,1.721101460785827442e+01,1.447898092418009952e+01,1.732976142775161321e+01,1.678510244929703177e+01,1.659045872804592392e+01,1.502195618448982017e+01,1.620094316227151054e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.577663885843307234e+01,-1.702146376623905510e+01,-1.901051827827176055e+01,-1.991351802094107626e+01,-1.535130655152504708e+01,-1.734966607648200565e+01,-1.624086936122887082e+01,-1.560602506083903940e+01,-1.490262844953745613e+01,-1.226038757979716110e+01,-1.214603038778468935e+01,-1.148745531825675847e+01,-9.241270359149684310e+00,-1.102432415843177260e+01,-9.022210603777049087e+00,-7.872081568110109728e+00,-6.533680367553811763e+00,-5.486450051286251295e+00,-5.311169066279886941e+00,-3.859354417582102403e+00,-2.244935702670631805e+00,-2.285997528898850994e+00,-1.010087484315460804e+00,4.985512612233571755e-02,1.352947785078730591e+00,1.906009240095173585e+00,4.295160142072617759e+00,4.605222029909012527e+00,4.945413741465297441e+00,8.037045955095111438e+00,8.109880909891399980e+00,7.503554712564425522e+00,9.917493351858256645e+00,1.067481831740723308e+01,1.249534685562803560e+01,1.330405298196787989e+01,1.466605366797018384e+01,1.456377417391690621e+01,1.500304208663327543e+01,1.674535777809665760e+01,1.595070829027923587e+01,1.509041561560328404e+01,1.634124497332470582e+01,1.766071437219020623e+01,1.627225905080639379e+01,1.745913587130701572e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.171190755394421501e+01,-1.846972048040128200e+01,-1.691603866583982452e+01,-1.813671517495522068e+01,-1.724665350717948797e+01,-1.644516480149716031e+01,-1.467924524088946825e+01,-1.605059837628194686e+01,-1.422392979287290515e+01,-1.474057117925483951e+01,-1.395432938424069746e+01,-1.406208066410686719e+01,-1.163056339657280347e+01,-1.217305971149720101e+01,-9.987988911173983908e+00,-9.317989058541479963e+00,-8.244444327775514836e+00,-6.808269725415361684e+00,-6.173048996185726445e+00,-5.522287937647580414e+00,-4.364319622497934148e+00,-2.916123254861735070e+00,-1.224637902746068319e+00,-1.050844686514283088e+00,9.956467249881642001e-01,2.230504151031704296e+00,2.692933544248881095e+00,4.065262472292903162e+00,4.097370990568495408e+00,6.127549450368128703e+00,6.198233228612491708e+00,7.473717540095248246e+00,8.985874592356175583e+00,9.997810567488656375e+00,1.111361959159867041e+01,1.161598943481361701e+01,1.418050137701375846e+01,1.468182975960034931e+01,1.455156861850901961e+01,1.495109874418960771e+01,1.640375723796209684e+01,2.191680171136772159e+01,1.983348994452504499e+01,1.929946191164466995e+01,1.672193051855994383e+01,1.803136248627507854e+01,1.715839068822075575e+01,1.700140651186860907e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
