nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.806624945571434182e+01,-2.496587116299083675e+01,-2.613578960101503768e+01,-2.920676474540809409e+01,-2.593576259503042891e+01,-2.849558064786095457e+01,-2.676348721871442748e+01,-2.589199904140410524e+01,-2.945931170007697730e+01,-2.505867951250188241e+01,-2.829214257193022775e+01,-2.577165767628709148e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.670105330637444041e+01,-2.588509522929436102e+01,-2.545474601971718798e+01,-2.656740272356573840e+01,-2.541199971430849658e+01,-2.791779751268322940e+01,-2.820341021309166862e+01,-2.632221931155196515e+01,-2.636817152695467925e+01,-2.577798038521311952e+01,-2.811526826056902095e+01,-2.875791231592030783e+01,-2.686050939436147544e+01,-2.640385295804999544e+01,-2.781294184643466139e+01,-2.876623890393302219e+01,-2.578301040765959939e+01,-2.598685005713288731e+01,-2.525271483713233778e+01,-2.430859560781892270e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.452246336550889794e+01,-2.497214236998549097e+01,-2.778577394002368095e+01,-2.536395667120338260e+01,-2.968174972977218218e+01,-2.682026896418837580e+01,-2.504153970182887434e+01,-2.572967480868505419e+01,-2.990277790125056256e+01,-2.922068281480974150e+01,-2.516805863785195641e+01,-3.027589646960813496e+01,-2.925662430684055337e+01,-2.802328882164695756e+01,-2.953775031025750764e+01,-2.896412944056632810e+01,-2.698544664308601426e+01,-2.859904641464990149e+01,-2.910099813445920347e+01,-2.917689226432764116e+01,-2.955429985327619136e+01,-2.872691619934741780e+01,-2.464095109820996754e+01,-2.531842772747065951e+01,-2.343164659721721321e+01,-2.594685121042583020e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.414420017234177962e+01,-2.596603793417495609e+01,-2.374353304388038666e+01,-2.505063307228684621e+01,-2.774594161197158826e+01,-2.443156164095016081e+01,-2.758478166526821340e+01,-2.796574359185735759e+01,-2.876322367696019100e+01,-2.829897377350415866e+01,-2.995513649378332488e+01,-2.842944801650802589e+01,-2.551493445704496921e+01,-2.713828666798318778e+01,-2.630723817159926625e+01,-3.035483891109609900e+01,-2.987695155114825241e+01,-2.982878996335279709e+01,-2.656822253523465349e+01,-2.950871940622220535e+01,-2.736834543740820536e+01,-2.930559501234828446e+01,-2.495222723681999710e+01,-2.839165842689948960e+01,-2.527562531220621267e+01,-2.656311287919826469e+01,-2.793215935341405753e+01,-2.499525316235609296e+01,-2.515166939486845621e+01,-2.632764172197551389e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.442019018323863477e+01,-2.409262543977678916e+01,-2.526967804263160389e+01,-2.422481728865367501e+01,-2.764418877927681351e+01,-2.736360463508655982e+01,-2.719869331617755748e+01,-2.668285138204061369e+01,-2.759721041395810914e+01,-2.677491806886381553e+01,-2.711233012927776187e+01,-2.997506760935269554e+01,-2.693979155000896952e+01,-2.723973279843529482e+01,-2.729213183893210370e+01,-3.018418060240257716e+01,-2.734122718689585696e+01,-2.739175366323483019e+01,-2.915630506105427955e+01,-3.048889627451075413e+01,-2.925809437478377362e+01,-2.982929915773706853e+01,-2.954487113399179421e+01,-3.048691691428360073e+01,-2.683439558475365416e+01,-2.853523325934429167e+01,-2.684387326225217052e+01,-2.796932832128265645e+01,-2.619608068945267121e+01,-2.522825809096069705e+01,-2.683538074254893502e+01,-2.513901858714402238e+01,-2.322949392595296914e+01,-2.323402210888259489e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.397842897003641127e+01,-2.306006912996712899e+01,-2.402989348558570271e+01,-2.386770473306954798e+01,-2.703252933651702961e+01,-2.431626957238329823e+01,-2.659673760605220849e+01,-2.617765865564439309e+01,-2.900888559363222541e+01,-2.649242683590237490e+01,-2.751880241276766270e+01,-2.525137668225699272e+01,-2.857342556016153168e+01,-2.737931468806843682e+01,-2.743510831708028164e+01,-2.896045512990505344e+01,-3.008014182248352597e+01,-2.747949909116520928e+01,-2.871435939569509443e+01,-2.954434038044606226e+01,-2.875926534231255260e+01,-2.971281759748285012e+01,-2.816238369169594336e+01,-2.991340601815250722e+01,-2.857027759430965119e+01,-2.959523609076695649e+01,-2.910466169010589255e+01,-2.894367904650501799e+01,-2.810990607792086138e+01,-2.601062146466749425e+01,-2.779542887895934911e+01,-2.656279793947849655e+01,-2.650713335573922080e+01,-2.397013397822088976e+01,-2.471669869635552175e+01,-2.409491904992999878e+01,-2.259298509991271331e+01,-2.237008202693300163e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.176603941003755338e+01,-2.335466115388213026e+01,-2.444130105946605980e+01,-2.433555285534841417e+01,-2.651678572614198970e+01,-2.605273754681086018e+01,-2.607294333545989673e+01,-2.556754876041062374e+01,-2.776779615232371512e+01,-2.698758295776556082e+01,-2.714731878275054200e+01,-2.920200121155752271e+01,-2.851037036253008239e+01,-2.674391311447604380e+01,-2.627283333640390950e+01,-2.759544609560894202e+01,-2.468566915685556040e+01,-2.894916486591352012e+01,-2.847698005270909860e+01,-2.690593391481535335e+01,-2.598193921416385166e+01,-2.803493934809677768e+01,-2.988807203417267644e+01,-3.008244943598866428e+01,-2.692908420879610176e+01,-2.393991654181647988e+01,-2.837791422673847563e+01,-2.865741088466903008e+01,-2.620407660840705333e+01,-2.762482427270640528e+01,-2.766120072406753039e+01,-2.511763863855101775e+01,-2.723889502508653493e+01,-2.732976719831321333e+01,-2.530626225800058648e+01,-2.421222702276267569e+01,-2.441295740570173578e+01,-2.424167203003294802e+01,-2.236156892766727111e+01,-2.376435372610096053e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.105761342641627820e+01,-2.219277399866767198e+01,-2.202719011969491447e+01,-2.393352006357758555e+01,-2.581789900378550229e+01,-2.482068943538807915e+01,-2.700917342479112904e+01,-2.542070463412283132e+01,-2.738426132828267612e+01,-2.661847988937013909e+01,-2.592840175824420257e+01,-2.614889498754286024e+01,-2.499176889325048379e+01,-2.865447809317728556e+01,-2.464443671054100804e+01,-2.797262643968412377e+01,-2.892485186823889265e+01,-2.698377664198869752e+01,-2.916609131332354465e+01,-2.742018329503833840e+01,-2.888403139462981883e+01,-2.728751484340935818e+01,-3.029780872353221355e+01,-2.494551090777173741e+01,-2.943296556694847155e+01,-3.079432081057975523e+01,-2.685536521241848718e+01,-2.718378623477156708e+01,-2.603146834711427715e+01,-2.606836155078241291e+01,-2.725333041968921677e+01,-2.340343386328824948e+01,-2.552569257101102806e+01,-2.574586876189130535e+01,-2.396966811710086276e+01,-2.705277045652317724e+01,-2.519536954681357699e+01,-2.343634456547961520e+01,-2.357655422970858439e+01,-2.319108301212088463e+01,-2.339532289718093949e+01,-2.199469241086380222e+01,-2.246626023627854352e+01,-2.310507573642937373e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.993295065765615348e+01,-2.204089347767575902e+01,-2.233717328420321024e+01,-2.243676651256004106e+01,-2.227840457389466522e+01,-2.501244685096158804e+01,-2.499684434288811374e+01,-2.328891431088138830e+01,-2.573311197313137200e+01,-2.656278910603873911e+01,-2.737021319697903365e+01,-2.500459458248476352e+01,-2.330571135425036644e+01,-2.447972715428012336e+01,-2.458794003565702724e+01,-2.566979394327486474e+01,-2.753240894721184517e+01,-2.994236645195368496e+01,-2.684912550553842081e+01,-2.787998505797203208e+01,-2.669365741769395584e+01,-2.578043580060482398e+01,-2.894614337445280583e+01,-3.077776416416417149e+01,-2.380285588479267389e+01,-2.615341365764604475e+01,-2.786919148923159639e+01,-2.585571393923476791e+01,-2.501950622986670325e+01,-2.657604016247904966e+01,-2.629448108691361696e+01,-2.530720202737015256e+01,-2.546291837940968250e+01,-2.642946913852018653e+01,-2.657820939532820148e+01,-2.517031224042569448e+01,-2.582245296516728672e+01,-2.363955004285964989e+01,-2.645345631200394720e+01,-2.398290713067191504e+01,-2.443876717241265339e+01,-2.448202000339676943e+01,-2.269411507000965145e+01,-2.129196995066488896e+01,-2.103006910466272927e+01,-2.173557552368537671e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.018616691884401249e+01,-2.058380619161743041e+01,-2.267130191411343176e+01,-2.205842340384309352e+01,-2.214545866458507462e+01,-2.330867936208727542e+01,-2.379123166413844714e+01,-2.489482844148476559e+01,-2.325105102199189133e+01,-2.397284863197551985e+01,-2.459081148080346679e+01,-2.397486407401441255e+01,-2.479138922818982849e+01,-2.506726860503490073e+01,-2.431106156983378241e+01,-2.650124492008161425e+01,-2.550374256147608421e+01,-2.738572942233005136e+01,-2.543266707464169940e+01,-2.222699372587808142e+01,-2.459970987443725932e+01,-2.592141796352899874e+01,-2.367987660863393273e+01,-2.497351102451491656e+01,-2.423862136074613360e+01,-2.337156654707120040e+01,-2.571218582642294592e+01,-2.337618532830676799e+01,-2.383528815917886234e+01,-2.451736279976816135e+01,-2.883100494306359707e+01,-2.426720992727752702e+01,-2.512721927614807882e+01,-2.644127616818765247e+01,-2.496650291277880385e+01,-2.481768970732482771e+01,-2.675202489267902095e+01,-2.470423537515514312e+01,-2.436674982218022123e+01,-2.643448761524241419e+01,-2.478451391856546593e+01,-2.355118246322515319e+01,-2.356404714815226598e+01,-2.403396125875126543e+01,-2.299116470497719433e+01,-2.075872542822979483e+01,-2.068499014849627571e+01,-1.992950240877618739e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
