nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.814614227615671282e+01,-2.687804709479353349e+01,-2.978590685313165665e+01,-2.464897528365707657e+01,-2.736748752420580999e+01,-2.558444051833717836e+01,-2.429059756329886710e+01,-2.646807131901186594e+01,-2.461965004447267091e+01,-2.576819968946154660e+01,-2.558731579735321660e+01,-2.610716493421591622e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.500034101753099236e+01,-2.525648487132506759e+01,-2.656796949144398923e+01,-2.602107898410697118e+01,-2.988464350308873207e+01,-2.723863137045101368e+01,-2.476705254846846671e+01,-2.736185719195740162e+01,-2.606238656968472256e+01,-2.685522069606274798e+01,-2.724321982644217144e+01,-2.818690653471848861e+01,-2.522478459902252723e+01,-2.777762387034611891e+01,-2.909916597258354898e+01,-2.977325026400786356e+01,-2.574515753351147040e+01,-2.433770888344088945e+01,-2.957603616007019554e+01,-2.314178280220821904e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.623536418344638577e+01,-2.636129350879942734e+01,-2.519908589242398023e+01,-2.753598320418820222e+01,-2.555910728508559160e+01,-2.806871351056361519e+01,-2.522003832487399677e+01,-2.741433098828349557e+01,-2.824340444886479773e+01,-2.750493076055648345e+01,-2.569012435559755048e+01,-2.843466321449458079e+01,-2.729784850274615593e+01,-2.861644728812034444e+01,-2.797175115161942927e+01,-2.874280792679097729e+01,-2.792762691988319546e+01,-2.933363073915823804e+01,-2.655645762092424533e+01,-2.872419534970330446e+01,-2.658827906627612947e+01,-2.651491197920194054e+01,-2.695457304862864589e+01,-2.698941710748578160e+01,-2.540667451416923939e+01,-2.420693661957546183e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.272225580663979372e+01,-2.385600463881786482e+01,-2.683928386665457211e+01,-2.537075666034460042e+01,-2.896329598320160059e+01,-2.668277432538968696e+01,-2.796528475338605801e+01,-2.877295756372377511e+01,-2.783046120943516044e+01,-2.876445248064792182e+01,-2.724999341004930997e+01,-2.750246556671265452e+01,-2.645398741398410181e+01,-2.885131638795535380e+01,-3.026178624946892981e+01,-2.931902640014538974e+01,-2.973260424698657900e+01,-2.623603559496157445e+01,-2.649421506453628083e+01,-3.041939367974727304e+01,-2.700542367963390689e+01,-2.726005095330978278e+01,-2.609986323074100412e+01,-2.561823660878010145e+01,-2.733300023905037435e+01,-2.885493496419025661e+01,-2.563487940214679739e+01,-2.562328803473938521e+01,-2.532563306353191734e+01,-2.388982346487089359e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.452496980694874296e+01,-2.547526533872330390e+01,-2.534630376657876738e+01,-2.539675959456579335e+01,-2.764375693785274990e+01,-2.866920204121169036e+01,-2.875544690790031765e+01,-2.739119015080304465e+01,-2.780807201958639752e+01,-2.746639513921622111e+01,-2.902960538698624049e+01,-2.385482113982076058e+01,-2.765507557987069731e+01,-2.883261802003673679e+01,-2.677770001203367656e+01,-3.006299678181301971e+01,-2.998768933355031763e+01,-2.817634838108331508e+01,-2.937537511716542937e+01,-2.910657187937478341e+01,-2.750760026797425439e+01,-2.898822076102207035e+01,-2.778374849829458881e+01,-2.925700772058013399e+01,-2.868942635223423565e+01,-2.879601997011659975e+01,-2.429321313959873763e+01,-2.641267619007785328e+01,-2.628519484957988084e+01,-2.773937552542361118e+01,-2.414826735004669445e+01,-2.596982141869296612e+01,-2.513586792970414052e+01,-2.336756867181615860e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.347157842957521012e+01,-2.359818591706474322e+01,-2.511501910176780328e+01,-2.550877950260747795e+01,-2.469432789694748109e+01,-2.707447750158285160e+01,-2.531463854702252547e+01,-2.824469733610172639e+01,-2.730086680895220752e+01,-2.780449829866683231e+01,-2.577942562764984302e+01,-2.711701379482121155e+01,-2.926001610971134781e+01,-2.816461746213339623e+01,-2.620817843461875185e+01,-2.968527500305279077e+01,-2.748813202329706229e+01,-2.834154321021011214e+01,-2.602837848194154802e+01,-2.595362926391465308e+01,-2.752842700509771490e+01,-2.951967156805963555e+01,-2.684905546780208141e+01,-2.955570636356929981e+01,-2.853439411917790025e+01,-2.714633563039902242e+01,-2.813726789053660227e+01,-2.763881999301916537e+01,-2.697377340750744423e+01,-2.706318100844710628e+01,-2.762440610115870854e+01,-2.604794665401029263e+01,-2.425115732937310753e+01,-2.478070566531596697e+01,-2.523895624337341914e+01,-2.410687742274531331e+01,-2.557723985430889257e+01,-2.054647074200045864e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.157250986547357741e+01,-2.418649552776837197e+01,-2.272533579162240258e+01,-2.498968311787046659e+01,-2.521926896076146818e+01,-2.387901747058252155e+01,-2.580221779104317292e+01,-2.517337156528002140e+01,-2.638515270369132892e+01,-2.796519398398996969e+01,-2.868361080427662557e+01,-2.675068824186031691e+01,-2.861208275101487786e+01,-2.701797464822194073e+01,-2.652649840102604628e+01,-2.876922103594840863e+01,-2.696798593493913643e+01,-2.888261696180918747e+01,-2.700796934470735167e+01,-2.474485015751567474e+01,-2.754213379682106932e+01,-2.872923474917354980e+01,-2.637163594770113662e+01,-2.760206616682605585e+01,-2.792447825988756094e+01,-2.868707258004773308e+01,-3.024014731370482778e+01,-2.552317775872452899e+01,-2.624348794416791364e+01,-2.815346131627776671e+01,-2.710063837196138792e+01,-2.651577796525805653e+01,-2.593672315095982839e+01,-2.767979805044482688e+01,-2.571379178259077847e+01,-2.460699979333636733e+01,-2.443680146614525128e+01,-2.396942678534666271e+01,-2.317943164024314129e+01,-2.273532243426763344e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.020932886069796908e+01,-2.098706710780922435e+01,-2.417519809573127887e+01,-2.306828284750741176e+01,-2.379233562477794095e+01,-2.353615819154097366e+01,-2.642131015313172071e+01,-2.576880989220660823e+01,-2.517580574988426534e+01,-2.687873000983369920e+01,-2.383008905368057739e+01,-2.579800484338515076e+01,-2.765301507175116313e+01,-2.407287348165499452e+01,-2.909981887191720773e+01,-2.676640932106325366e+01,-2.747892544159555683e+01,-2.567755613459310382e+01,-2.780245613325809018e+01,-2.420005959968226250e+01,-2.772738095444695006e+01,-2.657706003170141784e+01,-2.850979864731095148e+01,-2.664134757004040921e+01,-2.648153092490135307e+01,-2.695400884858311841e+01,-2.592848451405418331e+01,-2.850804566103945348e+01,-2.789489462045516888e+01,-2.736727793478632265e+01,-2.658390297551613202e+01,-2.763291327445653423e+01,-2.823990068715566437e+01,-2.631388710609403958e+01,-2.547490169984160246e+01,-2.496246119540811392e+01,-2.523250048736940698e+01,-2.508650977890485123e+01,-2.352234769752160304e+01,-2.452254921649708663e+01,-2.416822189826620004e+01,-2.458611575496666291e+01,-2.223292576223844463e+01,-2.065069041528808924e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.889807401504791784e+01,-2.175208652294726619e+01,-2.182270797883029800e+01,-2.278925971749450241e+01,-2.457061025360881956e+01,-2.543361917267419869e+01,-2.469964229279746704e+01,-2.429042484904894295e+01,-2.500541782196057738e+01,-2.668201143135358322e+01,-2.537100181348369787e+01,-2.640620787605037378e+01,-2.583109598207871116e+01,-2.775100908337666183e+01,-2.610118286424944145e+01,-2.653538006417783279e+01,-2.703324237678034336e+01,-2.632485426462275058e+01,-2.789551279018394325e+01,-2.508034070059932574e+01,-2.835703990894130300e+01,-2.610521835536016866e+01,-2.485114827652192204e+01,-2.502262029993580583e+01,-2.744496977214237532e+01,-2.713864097829944555e+01,-2.366434398457348465e+01,-2.881475812149182048e+01,-2.571197057535537667e+01,-2.837147674361012051e+01,-2.717564815745825513e+01,-2.517574531654773295e+01,-2.808316157697874615e+01,-2.741514456351428208e+01,-2.610218618806240443e+01,-2.512105502044946448e+01,-2.385604860901333879e+01,-2.674996191305686466e+01,-2.671027456106258313e+01,-2.450443412499364015e+01,-2.349378482984709748e+01,-2.344108124852725084e+01,-2.281793857808226988e+01,-2.277945238839708608e+01,-2.133844570495654480e+01,-1.952515283939068169e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.057464583990860518e+01,-2.232021490921109574e+01,-2.168640857785172571e+01,-2.155572090288420029e+01,-2.291976047588329024e+01,-2.321959928383299498e+01,-2.294367509846285103e+01,-2.497115441253608736e+01,-2.352610495066161178e+01,-2.549903994967663223e+01,-2.467420643986369555e+01,-2.552745590221887539e+01,-2.459554612480478397e+01,-2.563147346721748576e+01,-2.436555297156808209e+01,-2.478098241769167842e+01,-2.435492290293712614e+01,-2.509147874684078516e+01,-2.410339917195500092e+01,-2.429984548700998204e+01,-2.547755455829429749e+01,-2.474095957006781177e+01,-2.410445909009919063e+01,-2.464730669821390308e+01,-2.426305647908673535e+01,-2.656095391454938692e+01,-2.420587606528876989e+01,-2.507763742683887287e+01,-2.706057556487599314e+01,-2.471146832131121585e+01,-2.579069822886918928e+01,-2.433136057095544302e+01,-2.493863873549929266e+01,-2.610624263489114583e+01,-2.338575992510047641e+01,-2.462442713824038520e+01,-2.498367063229454033e+01,-2.494404027736409901e+01,-2.431857467608766399e+01,-2.433751497069050629e+01,-2.449120935051654868e+01,-2.315005555089311073e+01,-2.356286260686374590e+01,-2.365577336404643560e+01,-1.992002104031099563e+01,-2.110166451274749733e+01,-2.031988533061010216e+01,-2.102710928737571194e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
