nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.965858154193573171e+01,-2.481711095937874845e+01,-2.621775436847054053e+01,-3.408283234539011630e+01,-2.605402485343743635e+01,-2.775689783148678558e+01,-2.601365244068598415e+01,-2.557125631205875393e+01,-2.983614011793808274e+01,-2.540040107939215019e+01,-2.730078439792677969e+01,-2.516570219057992119e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.682115323543841612e+01,-2.540390689946907798e+01,-2.504095263502391333e+01,-2.632799264569406361e+01,-2.548536978761843486e+01,-3.431022973142351162e+01,-2.769242101934402811e+01,-2.610363425383728142e+01,-2.596313411772183954e+01,-2.589292794131551645e+01,-2.811990703942545267e+01,-2.785515031726490776e+01,-2.622703083995196849e+01,-2.607427237402514564e+01,-2.797514179226725162e+01,-2.827546917969969087e+01,-2.550248287979492900e+01,-2.562280521346671236e+01,-2.495885888077901527e+01,-2.418534945342500109e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.457717738033881361e+01,-2.491088788822611022e+01,-2.864556814211683289e+01,-2.496201525689043521e+01,-2.805004326346115207e+01,-2.590844498864534273e+01,-2.461442551752848118e+01,-2.529572791991216718e+01,-2.902760366347577303e+01,-3.142208876732784617e+01,-2.534323025577943156e+01,-2.968767509148852213e+01,-2.904369745069665854e+01,-2.709430006921440537e+01,-2.777122149200193135e+01,-2.733140361525144257e+01,-2.628585215816118037e+01,-2.775860610242984450e+01,-3.044298465218660255e+01,-2.887509448497206321e+01,-2.835668406746581383e+01,-2.798107648303470185e+01,-2.424342810091139100e+01,-2.505104458337508788e+01,-2.339960715016663073e+01,-2.645734564192106220e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.418289775411689746e+01,-2.654830268047298958e+01,-2.392969174651952002e+01,-2.487840118594341732e+01,-2.739904466481976542e+01,-2.430202244808886647e+01,-2.747857068334650066e+01,-2.643995742571653196e+01,-2.739691339180645357e+01,-2.731960944130246105e+01,-3.034072411354336296e+01,-2.756136305504075779e+01,-2.515725957447510552e+01,-2.625895081910013573e+01,-2.593396528912522569e+01,-3.196867858223873782e+01,-2.929109584294234381e+01,-2.869786561961659643e+01,-3.483448418967095961e+01,-2.840799989593929453e+01,-2.641809263820970699e+01,-2.849049195740922968e+01,-2.476914531375370032e+01,-2.741242963929445509e+01,-2.513063323167424912e+01,-3.311291072794623602e+01,-2.828817866041452334e+01,-2.484900355223133772e+01,-2.505360028773770864e+01,-2.678038784670156858e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.454221754834275515e+01,-2.429942756766745759e+01,-2.556389480450271279e+01,-2.446456611512081736e+01,-2.754217950392950698e+01,-2.703656294627826284e+01,-2.762996738123303331e+01,-2.647751293907596448e+01,-2.668911247638338935e+01,-2.671769967757779440e+01,-2.721212807317370164e+01,-2.916533711123865658e+01,-2.641398766190457792e+01,-2.723202768899140480e+01,-2.650806832704970262e+01,-2.921060051539701519e+01,-2.647766565100063119e+01,-2.686524416220830247e+01,-2.781840844254559642e+01,-3.015198187008368791e+01,-2.795349068777894530e+01,-2.930906486032962377e+01,-2.886994120043084777e+01,-2.995799785020005146e+01,-2.645459066859667630e+01,-2.969910002944663319e+01,-2.644487799225563052e+01,-2.862130416672175670e+01,-2.707779749765742494e+01,-2.591801025110409995e+01,-2.700056443154887020e+01,-2.550345939464810385e+01,-2.328841835291885332e+01,-2.406505949829924162e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.535349452818069693e+01,-2.327706214652073058e+01,-2.438648154065686668e+01,-2.407913746825168033e+01,-2.737115023507593747e+01,-2.478981572650371135e+01,-2.662372108747778654e+01,-2.618944696838084951e+01,-2.867753422690330822e+01,-2.617698054368640825e+01,-2.662756544699071526e+01,-2.489265693852305006e+01,-2.766054782357182518e+01,-2.771261972161214970e+01,-2.667350252752576267e+01,-2.773966423508315060e+01,-2.950701930568368425e+01,-3.496627960853149375e+01,-2.860078734059664995e+01,-3.192429955853980417e+01,-2.730934301671675613e+01,-2.891146914618522246e+01,-2.742654771645762679e+01,-2.958619225105868011e+01,-2.737181166505252961e+01,-2.791669471533045055e+01,-2.741004424459688593e+01,-3.011553013464109441e+01,-2.823608731820294437e+01,-2.570109750369430301e+01,-2.809196795780633948e+01,-2.736308244429544700e+01,-2.744610678033060225e+01,-2.436045165581041516e+01,-2.523234449407221192e+01,-2.431509359758147326e+01,-2.277754227781030849e+01,-2.273122458420688474e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.209025441343684548e+01,-2.349021069420521002e+01,-2.468055639781270116e+01,-2.443167908349782991e+01,-2.707506762772544917e+01,-2.699736424376554211e+01,-2.622195011934926256e+01,-2.569340332202998312e+01,-2.732484490799784638e+01,-2.743557100580607511e+01,-2.649259524651096953e+01,-2.856682848185134205e+01,-2.719600535052355639e+01,-2.619549772238330121e+01,-2.568341425310095616e+01,-2.651623251066781606e+01,-2.447338972589484030e+01,-2.792999529629786437e+01,-2.795175912785427386e+01,-2.610176648912839426e+01,-2.540350207903425073e+01,-2.700541954583938420e+01,-2.827512828992363936e+01,-2.849023050112645805e+01,-2.647856648395561763e+01,-2.356584658371772889e+01,-2.701345931702187286e+01,-2.909652230197037426e+01,-2.590235204213232123e+01,-2.680879029159895666e+01,-2.848415149396896240e+01,-2.524149019576048758e+01,-2.803902199898251624e+01,-2.780732902034471721e+01,-2.578913778119746070e+01,-2.446573766397037630e+01,-2.490171969145951536e+01,-2.458211996482936712e+01,-2.264825793498602735e+01,-2.450979154619858846e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.135259749663412521e+01,-2.263392636251237633e+01,-2.233626170068679428e+01,-2.471631776172208461e+01,-2.707811912768648455e+01,-2.498977502912073589e+01,-2.837446463005295882e+01,-2.571031202677234972e+01,-2.750770901289675407e+01,-2.636331526283119686e+01,-2.593273457799628900e+01,-2.613010429567155413e+01,-2.463655258319600350e+01,-2.798476918126259960e+01,-2.422923402832277873e+01,-2.706097377554860373e+01,-2.754936517730871870e+01,-2.614861949551007925e+01,-2.862567088994932618e+01,-2.639269161309189826e+01,-3.299276302570665820e+01,-2.609015260265625002e+01,-2.742669229499203709e+01,-2.478737488598554251e+01,-2.834589239114761483e+01,-2.994107589364287136e+01,-2.593027653738886684e+01,-2.630212060104065586e+01,-2.549049898070173370e+01,-2.614892719209796823e+01,-2.736289795015644088e+01,-2.323329009477555473e+01,-2.576760770184231930e+01,-2.584357134231131070e+01,-2.400784598853008589e+01,-2.818511058440692807e+01,-2.568899323775857368e+01,-2.353163297220127959e+01,-2.404804046659499051e+01,-2.387655932648967649e+01,-2.483291679013146336e+01,-2.227510385432299600e+01,-2.315984013612800752e+01,-2.366118205038311118e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.986049339045078099e+01,-2.213159821546652850e+01,-2.271755495864472252e+01,-2.247847934081437415e+01,-2.238123334196481196e+01,-2.592921424465835400e+01,-2.550391603162950105e+01,-2.333674518916042118e+01,-2.602549531647801118e+01,-2.661705986996175000e+01,-2.735095182863510388e+01,-2.495272842551419146e+01,-2.331016637601170061e+01,-2.417773918036602865e+01,-2.443133222593459308e+01,-2.504831183217995516e+01,-2.685363723727421714e+01,-2.970360719610210509e+01,-2.601218759853512097e+01,-2.651851752610260604e+01,-2.653951331625721366e+01,-2.548972078684296250e+01,-2.747562355439315951e+01,-2.987569893552695532e+01,-2.396572978205976767e+01,-2.583167687781115163e+01,-2.729346722275294468e+01,-2.553327822348975218e+01,-2.489828458282122270e+01,-2.574201332423522004e+01,-2.610613944725596269e+01,-2.492265879601487200e+01,-2.508319266654683588e+01,-2.698942466400283635e+01,-2.656306594585126746e+01,-2.557739587882613819e+01,-2.625027200818314554e+01,-2.394783692931508767e+01,-2.688207384118164356e+01,-2.426181745324556971e+01,-2.484741728361728264e+01,-2.505854314604728472e+01,-2.293142462972682338e+01,-2.167159029929772629e+01,-2.174646958361745774e+01,-2.394037393836494232e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.107798012010337274e+01,-2.091056958390843690e+01,-2.336571143982867227e+01,-2.209793910870539335e+01,-2.260964700052119625e+01,-2.475311261977927657e+01,-2.416999974338221691e+01,-2.524499215059476498e+01,-2.332300649921715774e+01,-2.410498802681422248e+01,-2.488082688145138732e+01,-2.411698995834068882e+01,-2.476719194599159835e+01,-2.474310803090464006e+01,-2.417718275316980225e+01,-2.582788225890311296e+01,-2.524540903917692347e+01,-2.631545346557601661e+01,-2.503112810326554438e+01,-2.230874803362533854e+01,-2.437307400836193239e+01,-2.556772372609027144e+01,-2.384534841918783599e+01,-2.493367032588491838e+01,-2.430356662740945950e+01,-2.365218501573235343e+01,-2.560875331971933733e+01,-2.325418603635763404e+01,-2.381565432701752627e+01,-2.428842633243456817e+01,-2.752312900670603568e+01,-2.416751618184503769e+01,-2.479423061340934353e+01,-2.605107319825498635e+01,-2.497320025323915971e+01,-2.475474804335131296e+01,-2.695651618413445405e+01,-2.521054317222563057e+01,-2.475260677396179432e+01,-2.693647702909774466e+01,-2.535450750492315208e+01,-2.376341422795682945e+01,-2.432305134095528487e+01,-2.417801665167683822e+01,-2.425495326537721752e+01,-2.084026677919118598e+01,-2.097355602437209043e+01,-2.022100359475950881e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
