nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.781562968381282275e+01,-2.660045164105286020e+01,-3.216803715602300429e+01,-2.459546211216183309e+01,-2.705608321683276074e+01,-2.548374496270613676e+01,-2.425903596670410778e+01,-2.627004398867926227e+01,-2.457368944142189093e+01,-2.559140756885263812e+01,-2.548519781876403201e+01,-2.593920297984939793e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.481607755290948703e+01,-2.511745321920515650e+01,-2.629395223676356252e+01,-2.579794256410367481e+01,-3.029458320573658625e+01,-2.690458598891984821e+01,-2.471006754231390445e+01,-2.706474932722919391e+01,-2.589910163743033422e+01,-2.655714574657608296e+01,-2.705060077929613982e+01,-2.782830569426514700e+01,-2.512804918379812236e+01,-2.749189632636552361e+01,-2.908581205611538678e+01,-3.349055585635753118e+01,-2.556898323689500785e+01,-2.426875897495684953e+01,-2.997022277297060455e+01,-2.308916798877006826e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.605553409833349221e+01,-2.617064802410320823e+01,-2.502188673865724766e+01,-2.740368019647275588e+01,-2.538504142193502133e+01,-2.794749581789334414e+01,-2.511313939212977075e+01,-2.705254414630358539e+01,-2.809528441382149921e+01,-2.727817971111316808e+01,-2.558038718675186374e+01,-2.826792703393622119e+01,-2.708859857860346310e+01,-2.855617613342440819e+01,-2.786939818532324864e+01,-2.859335609319666105e+01,-2.749007035705235680e+01,-2.944924933884112761e+01,-2.628922869524210171e+01,-3.335057014931504682e+01,-2.638793670741113218e+01,-2.619333388674978380e+01,-2.670794081593723490e+01,-2.682890263040331291e+01,-2.522323751403893510e+01,-2.410207332723185303e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.266547745531148550e+01,-2.377934817062414652e+01,-2.683160743479030330e+01,-2.522860868772824006e+01,-2.931258749100002703e+01,-2.645831929716257847e+01,-2.784975291364056105e+01,-2.851291226118441458e+01,-2.743258007449155045e+01,-2.841403926577640249e+01,-2.697941845208484679e+01,-2.726599023548420320e+01,-2.626545869817590884e+01,-2.868905028819129654e+01,-3.151213097793632301e+01,-2.947991951147137257e+01,-3.015298506925146427e+01,-2.603377583313667643e+01,-2.629133726725109454e+01,-3.227570616596092634e+01,-2.668356090558118510e+01,-2.691214095717507249e+01,-2.585214377526826368e+01,-2.544137544373489845e+01,-2.723787145859978764e+01,-2.912193317161038308e+01,-2.546423427854249510e+01,-2.542086519204874406e+01,-2.520443143637655581e+01,-2.380980118866444784e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.456527629433786686e+01,-2.542540894755113001e+01,-2.514431918597984961e+01,-2.564085437535349854e+01,-2.755528483582962096e+01,-2.932370494697012830e+01,-2.901070412478554417e+01,-2.731887380543887645e+01,-2.764205895889195830e+01,-2.708930505396425659e+01,-2.868962417159267630e+01,-2.382369467257807116e+01,-3.366408651622486303e+01,-2.849658528092096432e+01,-2.656229873753103021e+01,-3.140337562193311172e+01,-3.070699238673588027e+01,-2.793329915764302029e+01,-2.965164876663230231e+01,-2.915330254307841784e+01,-2.718146697360847597e+01,-2.895575762697824374e+01,-2.734043701803616244e+01,-2.931472642355219094e+01,-2.832779070038531799e+01,-2.894569944554142182e+01,-2.415409328206236594e+01,-2.630757277165281494e+01,-2.626849968969997917e+01,-2.786148579749178822e+01,-2.405867180983630149e+01,-2.617053414557536684e+01,-2.518451495945067364e+01,-2.331613161268121814e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.362767761614344764e+01,-2.375883507520465443e+01,-2.510503178864351881e+01,-2.569756091034653522e+01,-2.470358396337266171e+01,-2.763899914756212084e+01,-2.525992383374700267e+01,-2.833875179587209914e+01,-2.723872754672426666e+01,-2.773418352482685378e+01,-2.560262572629273592e+01,-2.689108469853602301e+01,-2.927164438176711769e+01,-2.773091818566228639e+01,-2.598756512715070954e+01,-2.993022804449044472e+01,-2.718404606778947041e+01,-2.814256261041920126e+01,-2.588257630197855264e+01,-2.579148199671265118e+01,-3.418292878757592490e+01,-2.977410095435852710e+01,-2.665299784186978371e+01,-2.969987902760368215e+01,-2.825819980529798769e+01,-2.688494629254876500e+01,-2.792543353301990905e+01,-2.739686699154863447e+01,-2.664974667988296986e+01,-2.715223067355553255e+01,-2.787213396150675848e+01,-2.605142280980701841e+01,-2.421139957075812177e+01,-2.468431951286221349e+01,-2.537139745008765956e+01,-2.404977404118715967e+01,-2.618963494059407537e+01,-2.053661385698806896e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.154205771532909708e+01,-2.440153225656846558e+01,-2.269730661810233130e+01,-2.521131433690194257e+01,-2.544342304579288694e+01,-2.381182055962743505e+01,-2.592551296539241790e+01,-2.519194173900563527e+01,-2.621370954973422585e+01,-2.812916478718220503e+01,-2.902853583078138655e+01,-2.643816571855942144e+01,-2.841690126593075405e+01,-2.676039819193373148e+01,-2.619197380192611746e+01,-2.850323920756152773e+01,-2.668080993734930928e+01,-2.877998549602308742e+01,-2.669550951860924570e+01,-2.467778384411421655e+01,-2.727687915962685850e+01,-2.867305026934825918e+01,-2.612929404059979888e+01,-2.720377229153816145e+01,-2.758070692187475714e+01,-2.848060583337277052e+01,-3.123967030430598513e+01,-2.535209434078908330e+01,-2.601303829090747755e+01,-2.832014117968328293e+01,-2.700990714203020815e+01,-2.645059474152678547e+01,-2.585112720457897240e+01,-2.821257186572676190e+01,-2.587137851491737095e+01,-2.486822374509492661e+01,-2.448281516228967902e+01,-2.418807309957771778e+01,-2.317264236962384771e+01,-2.285198368317179884e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.021609822200039019e+01,-2.108645382280052161e+01,-2.438664588912979880e+01,-2.337540004528194260e+01,-2.438745663235330596e+01,-2.376930312702285519e+01,-2.685003885005061974e+01,-2.601301808338152810e+01,-2.509645942685030917e+01,-2.715352538851524855e+01,-2.374718169121024758e+01,-2.562630005430069602e+01,-2.753400482057413612e+01,-2.397464187252452916e+01,-2.902762947686656148e+01,-2.652265148733006228e+01,-2.706903707645454915e+01,-2.546550316090510790e+01,-2.744078174033451489e+01,-2.416995626219630822e+01,-2.746034183022709740e+01,-2.636175382909308240e+01,-2.841368100654382900e+01,-2.643004856958796012e+01,-2.629448058090926565e+01,-2.667823535337527829e+01,-2.576956246521248062e+01,-2.834078516931861103e+01,-2.759863297715818931e+01,-2.703719045021360756e+01,-2.638352188170131285e+01,-2.791571460406245109e+01,-2.854157636342211646e+01,-2.648256308205908738e+01,-2.533171681829817601e+01,-2.497203860940417641e+01,-2.519675927089089740e+01,-2.550619968694746476e+01,-2.354757544507417322e+01,-2.494849657871968418e+01,-2.441239322463093586e+01,-2.484755320570541670e+01,-2.223375187283885168e+01,-2.067446561387713544e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.889172505941801106e+01,-2.185676452171063744e+01,-2.223703140359105390e+01,-2.350903014087703724e+01,-2.469490761354489905e+01,-2.586161511965516979e+01,-2.491471116610330938e+01,-2.448904254746825870e+01,-2.523444354841840109e+01,-2.677683662088939798e+01,-2.530944794214260085e+01,-2.636758275895400772e+01,-2.566098363044662278e+01,-2.780339234462658382e+01,-2.581999909022344397e+01,-2.633866448328836896e+01,-2.684643584392291515e+01,-2.604187400068949287e+01,-2.751131062584358844e+01,-2.498657045251039932e+01,-2.794761801970332726e+01,-2.591216126431490707e+01,-2.478605632244364187e+01,-2.494221660340591384e+01,-2.706986124454315146e+01,-2.690019109897718863e+01,-2.364516330568720193e+01,-2.844028413332658189e+01,-2.553813438881414299e+01,-2.810917575348704389e+01,-2.686651310776714396e+01,-2.503483458966503150e+01,-2.806855792339881006e+01,-2.743817471744926806e+01,-2.617677768005199823e+01,-2.514983860036520014e+01,-2.387680889734610545e+01,-2.725426482953997365e+01,-2.712205703717489769e+01,-2.478015266577306974e+01,-2.361115730162863713e+01,-2.346614158170722675e+01,-2.294198065793720431e+01,-2.318847507759401338e+01,-2.137603487583742634e+01,-1.962191424007286500e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.163078284244127758e+01,-2.286032407520846732e+01,-2.178269695621133550e+01,-2.183320237893354232e+01,-2.315358937718560384e+01,-2.335286627839850127e+01,-2.291497936546656078e+01,-2.520692947126133632e+01,-2.353044950591711526e+01,-2.585192548409107971e+01,-2.467884896263299410e+01,-2.563765363086062976e+01,-2.447823307290103045e+01,-2.554831912748833389e+01,-2.422349527967542215e+01,-2.461567083184125337e+01,-2.425518841906161427e+01,-2.494756385620819472e+01,-2.404669771512022791e+01,-2.423529876041394715e+01,-2.532686758643186664e+01,-2.468366218141171231e+01,-2.408050171576202558e+01,-2.459550985744322560e+01,-2.423100731982588485e+01,-2.630166483154118495e+01,-2.417395044364090495e+01,-2.498621206410598106e+01,-2.669307403058685324e+01,-2.460827886778361773e+01,-2.558081205907762268e+01,-2.423177986856698851e+01,-2.478220615117219694e+01,-2.590131117669894323e+01,-2.330359859921166077e+01,-2.452002947309803105e+01,-2.506463364407197147e+01,-2.507937827962675925e+01,-2.439375411129826787e+01,-2.443067422852431747e+01,-2.473315061923204539e+01,-2.646392931144492167e+01,-2.495160193368861101e+01,-2.425883355551725984e+01,-1.994772555336368924e+01,-2.133527662337812458e+01,-2.040406283220847428e+01,-2.109870632930636347e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
