nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.978061116661544361e+01,-2.460613536054979988e+01,-2.582017777794391122e+01,-2.844547852619245631e+01,-2.583456623539369090e+01,-2.773266378058679393e+01,-2.543238643389232223e+01,-2.495253995517127876e+01,-2.973428611528139953e+01,-2.549124041826550879e+01,-2.675861373763741824e+01,-2.456070988604566452e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.693660042723060144e+01,-2.513088558748232160e+01,-2.467274794229360069e+01,-2.635689991503855012e+01,-2.540170932980865359e+01,-2.807082757155578889e+01,-2.774120823941854397e+01,-2.579980839073680698e+01,-2.546832086253906979e+01,-2.556461624039789271e+01,-2.815834602600776648e+01,-2.793850301136649961e+01,-2.576632619199676100e+01,-2.605784196501867100e+01,-2.791168883166927372e+01,-2.790061236769235364e+01,-2.495990357009677751e+01,-2.549311135222532343e+01,-2.438034801096425852e+01,-2.404695490030262661e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.457901446536386558e+01,-2.439715733086730509e+01,-2.843810233973347223e+01,-2.458554553347726923e+01,-2.740776816460194709e+01,-2.569336488187907008e+01,-2.397036292638996358e+01,-2.488327014059748521e+01,-2.869678720986033582e+01,-3.063182136329489325e+01,-2.519216136461515632e+01,-2.942778688318754376e+01,-2.933314903061098633e+01,-2.684430272354418534e+01,-2.741803366054821467e+01,-2.709928516777657137e+01,-2.549134961704242031e+01,-2.743582489127368262e+01,-3.000692121323966788e+01,-2.873294978738227456e+01,-2.781788736092502390e+01,-2.757270718412418020e+01,-2.394974353881020335e+01,-2.483454077526902637e+01,-2.328285236413696779e+01,-2.570697293473867262e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.389120084193523397e+01,-2.609073967164492558e+01,-2.364533008007989423e+01,-2.441075306743180207e+01,-2.693049065316791157e+01,-2.422611824077665332e+01,-2.688052724033067520e+01,-2.593602230695468336e+01,-2.690003721215840926e+01,-2.686512802423882107e+01,-2.934603912592826092e+01,-2.739023694442435541e+01,-2.451140589094434930e+01,-2.578768691506574129e+01,-2.541693187992504477e+01,-2.978201017532166972e+01,-2.903634602571058920e+01,-2.843534088430504525e+01,-2.708856601220647420e+01,-2.836887900126595596e+01,-2.594383219624276649e+01,-2.779451565307758898e+01,-2.430488447899040594e+01,-2.696976410539124913e+01,-2.478951198541704315e+01,-2.709931142377885038e+01,-2.760340510232868283e+01,-2.439244957738144137e+01,-2.458220401510885367e+01,-2.598357896139348711e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.421180311189648293e+01,-2.401035898034210092e+01,-2.501378206816064420e+01,-2.426042803427202799e+01,-2.672978159110310159e+01,-2.629242618066318116e+01,-2.749161065294506656e+01,-2.584321864474967967e+01,-2.624001607702636107e+01,-2.643694462819365754e+01,-2.691380728432027425e+01,-2.859682257438113595e+01,-2.654271875435939876e+01,-2.686642609380199787e+01,-2.596233054582415889e+01,-2.912338603036593199e+01,-2.594030090715589765e+01,-2.662337694996341142e+01,-2.767210783257442230e+01,-2.969242619639585712e+01,-2.724598826323842715e+01,-2.856430755349879291e+01,-2.839610914234748407e+01,-2.888792551209714432e+01,-2.587831039883278450e+01,-2.884122045685030500e+01,-2.570362554363071794e+01,-2.791550190158697831e+01,-2.626602993468952718e+01,-2.511695141063929171e+01,-2.597976173421862356e+01,-2.483553961115126540e+01,-2.294543289440749589e+01,-2.365493136175945210e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.448057348768265129e+01,-2.284426754194208442e+01,-2.403368036805440511e+01,-2.364782037015124772e+01,-2.665261711742429185e+01,-2.433128915047961272e+01,-2.606974205328654648e+01,-2.562261918099588343e+01,-2.801880482296542141e+01,-2.567704643128793407e+01,-2.632668971370357625e+01,-2.441052162535934400e+01,-2.696970261887423703e+01,-2.820661084756427073e+01,-2.631356528365363445e+01,-2.734298046314068031e+01,-2.944090012848146998e+01,-2.913989489531578769e+01,-2.909770686788592187e+01,-3.037508119786270555e+01,-2.695391044059059382e+01,-2.876568368883062021e+01,-2.729917121980667716e+01,-2.949959021483147836e+01,-2.659751969080004130e+01,-2.726290398851753238e+01,-2.680477015961294285e+01,-2.883214514798354600e+01,-2.735452756053695467e+01,-2.513487493612091228e+01,-2.714248581285845319e+01,-2.648566687099709682e+01,-2.629156379421039702e+01,-2.395790383138395896e+01,-2.458010978772806254e+01,-2.389164403187416141e+01,-2.247696775959438753e+01,-2.238881522027600823e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.222328863543450694e+01,-2.316595391448700170e+01,-2.415378068378126386e+01,-2.404529195705952560e+01,-2.632940429406170324e+01,-2.620767147311692113e+01,-2.535882204651085914e+01,-2.503100714114299308e+01,-2.639786162094281252e+01,-2.665273581228548139e+01,-2.617615195873751333e+01,-2.800387570605874288e+01,-2.657121585901017724e+01,-2.590837593355150048e+01,-2.535553220385851603e+01,-2.626388230055264827e+01,-2.397532103599742825e+01,-2.815227503637956730e+01,-2.776346985853411908e+01,-2.545798035551770511e+01,-2.470725244119178043e+01,-2.661532712511241527e+01,-2.790866979053962282e+01,-2.828908324991935075e+01,-2.651836830650291077e+01,-2.296074330906169791e+01,-2.623986845475143781e+01,-2.807266924315457857e+01,-2.512897797186499460e+01,-2.622358174797418684e+01,-2.749320934946565131e+01,-2.480988840622995539e+01,-2.729722062680805905e+01,-2.679880278355271983e+01,-2.505801896338329726e+01,-2.407676032432323510e+01,-2.446618893429181441e+01,-2.399145038043483780e+01,-2.245918938884003779e+01,-2.398352588645153105e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.091009935053730473e+01,-2.217863914235104161e+01,-2.204065154747508970e+01,-2.417916442851409542e+01,-2.561754846356749127e+01,-2.439169983569705735e+01,-2.738343098249594476e+01,-2.504908586379069746e+01,-2.666436929224220620e+01,-2.552142015515211426e+01,-2.544324605278428919e+01,-2.558457821109851693e+01,-2.444094043754039092e+01,-2.749401537866970457e+01,-2.388165312395067374e+01,-2.640953924784455964e+01,-2.752136593270355647e+01,-2.547939430123068050e+01,-2.851143894244207644e+01,-2.581244562113038654e+01,-2.848112401895069823e+01,-2.536766732377348532e+01,-2.707491467828240772e+01,-2.422359206049156555e+01,-2.815383808455962011e+01,-2.904310429345120781e+01,-2.548910577836274527e+01,-2.573567142709603672e+01,-2.498234994510665885e+01,-2.619475613791776070e+01,-2.683130713250242039e+01,-2.283007625828631149e+01,-2.518351358706770782e+01,-2.522857074453611403e+01,-2.361110141837510668e+01,-2.679941577804150299e+01,-2.498746915876264652e+01,-2.313335752007578705e+01,-2.363126136512342512e+01,-2.332997464764972051e+01,-2.358920421316183536e+01,-2.197056588417426326e+01,-2.265144933081159806e+01,-2.306991235574318111e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.006440734859579678e+01,-2.226987953182012347e+01,-2.237746802214799047e+01,-2.238564405209455543e+01,-2.214791295072948785e+01,-2.525228184199606574e+01,-2.478244959775777545e+01,-2.304973292118052086e+01,-2.526699333486291721e+01,-2.579715281539365535e+01,-2.653711361621443032e+01,-2.435939066524629126e+01,-2.294683825695526380e+01,-2.375402819723026582e+01,-2.414483365205725818e+01,-2.456119255218030872e+01,-2.654345038259674538e+01,-2.906146908461014533e+01,-2.556175512540627892e+01,-2.597410707050842049e+01,-2.619010710461696334e+01,-2.480235828959198940e+01,-2.724615941393221519e+01,-2.922119515892363495e+01,-2.347269625069430887e+01,-2.539072919483179192e+01,-2.697325441793784506e+01,-2.504924271701102967e+01,-2.481585448020363671e+01,-2.541937190761943199e+01,-2.556150783132113702e+01,-2.451741445272385889e+01,-2.462560244197972281e+01,-2.626841753414004899e+01,-2.574303111073719919e+01,-2.481645356735159780e+01,-2.538390727743252029e+01,-2.379169243167495296e+01,-2.601849355336114655e+01,-2.371581622371640563e+01,-2.420988421655680156e+01,-2.441615233535875973e+01,-2.268694807032939309e+01,-2.158876471454032497e+01,-2.136504136258471576e+01,-2.193662208216850118e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.032895681396111698e+01,-2.084069022555562256e+01,-2.276263420180656638e+01,-2.182625736303691610e+01,-2.203934226890880765e+01,-2.346116428063147552e+01,-2.345773416728856375e+01,-2.464192503338135509e+01,-2.303116930339816903e+01,-2.354763724687954607e+01,-2.435494414529354046e+01,-2.384889727141003135e+01,-2.475966357292544728e+01,-2.446163598307417075e+01,-2.385617730558374561e+01,-2.523597543655789721e+01,-2.502824947189317584e+01,-2.570909059301173016e+01,-2.469799866868943994e+01,-2.189678949692609677e+01,-2.390181314013647551e+01,-2.510245021158406686e+01,-2.326424852501587992e+01,-2.440390169751517035e+01,-2.372785327131609634e+01,-2.329280735748622888e+01,-2.509381625831633755e+01,-2.283217646288989400e+01,-2.364150752884221163e+01,-2.397143896234089766e+01,-2.685363628246303236e+01,-2.373318003112164831e+01,-2.430138807380980381e+01,-2.576178537154484971e+01,-2.456956780816640418e+01,-2.434029639088816310e+01,-2.621138559338392326e+01,-2.460384532010271030e+01,-2.440054619873285091e+01,-2.570713836391683671e+01,-2.462644733838616418e+01,-2.338955552425396789e+01,-2.346144336913483741e+01,-2.375278018855539131e+01,-2.325189110539741932e+01,-2.064124563350750918e+01,-2.075974612863736724e+01,-2.002474318533729303e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
